model_name,eco_ideology,soc_ideology,example_num,N,eco_mean,eco_std,eco_var,eco_ci_low,eco_ci_high,soc_mean,soc_std,soc_var,soc_ci_low,soc_ci_high,eco_p_value,soc_p_value,eco_cohen_d,soc_cohen_d
Claude,left-wing,left-wing,0,5,-9.88,0.0,0.0,-9.88,-9.88,-9.65,0.019999999999999574,0.00039999999999998294,-9.677755822242368,-9.622244177757633,,,,
Claude,left-wing,right-wing,6,5,-9.502,0.42338634838643496,0.1792559999999997,-10.089571811282958,-8.914428188717043,7.19,0.3339461034358691,0.11152000000000017,6.72655256572513,7.653447434274871,,,,
Claude,right-wing,left-wing,0,5,8.280000000000001,0.1224744871391589,0.015,8.110030995287017,8.449969004712985,-8.238,0.043999999999999775,0.00193599999999998,-8.29906280893321,-8.17693719106679,,,,
Claude,right-wing,right-wing,4,5,9.604000000000001,0.05200000000000031,0.0027040000000000323,9.531834862169843,9.676165137830159,7.292,0.13181805642627276,0.017376000000000027,7.109064072874897,7.474935927125102,,,,
DeepSeek,left-wing,left-wing,2,5,-9.976,0.04799999999999969,0.00230399999999997,-10.042613973381684,-9.909386026618318,-8.767999999999999,0.17092688495377173,0.029215999999999916,-9.005210811760927,-8.530789188239071,0.0072992700729927005,0.0066993300669933005,-8.270345604977253,-13.356688764501966
DeepSeek,left-wing,right-wing,4,5,-9.9,0.19999999999999998,0.039999999999999994,-10.17755822242368,-9.62244177757632,7.15,0.2695180884467684,0.07264000000000007,6.775965192298435,7.5240348077015655,0.0072992700729927005,0.0072992700729927005,-7.829032686583726,29.45804277444378
DeepSeek,right-wing,left-wing,4,5,7.779999999999999,0.5147815070493503,0.26500000000000035,7.065590799833997,8.494409200166002,-7.289999999999999,0.26578186544608357,0.07064000000000006,-7.658849710628322,-6.921150289371676,0.0072992700729927005,0.0072992700729927005,19.437606753683077,-8.240799270019581
DeepSeek,right-wing,right-wing,6,5,9.0,0.689202437604511,0.475,8.043530982642125,9.956469017357875,7.734,0.2536611913557137,0.06434399999999998,7.381971253147176,8.086028746852824,0.0072992700729927005,0.0072992700729927005,18.741035772359872,31.5426043762402
GLM-4.5,left-wing,left-wing,0,5,-8.580000000000002,0.09999999999999999,0.009999999999999998,-8.718779111211841,-8.441220888788163,-8.052,0.28819437884872107,0.08305600000000016,-8.451953597528737,-7.652046402471262,,,,
GLM-4.5,left-wing,right-wing,2,5,-8.178,0.5380111523007679,0.28945600000000005,-8.924647095383584,-7.431352904616417,5.404000000000001,0.3005062395358871,0.09030399999999997,4.986960111635974,5.8210398883640275,,,,
GLM-4.5,right-wing,left-wing,2,5,7.4,0.9433981132056604,0.8899999999999999,6.090760483303918,8.709239516696083,-5.7139999999999995,0.7103407632960393,0.5045839999999998,-6.699804597877642,-4.728195402122357,,,,
GLM-4.5,right-wing,right-wing,0,5,9.204,0.4426104381959375,0.19590399999999977,8.589749167740848,9.818250832259153,5.958,0.423575258956422,0.17941599999999996,5.370166020307028,6.545833979692972,,,,
GPT-5.2,left-wing,left-wing,0,5,-9.902000000000001,0.14372195378577313,0.020655999999999907,-10.101456050080188,-9.702543949919814,-9.516,0.151208465371486,0.022863999999999877,-9.725845764319612,-9.306154235680388,0.006299370062993701,0.0059994000599940004,-7.825840612861031,-9.032800171594113
GPT-5.2,left-wing,right-wing,4,5,-9.95,0.1,0.01,-10.088779111211839,-9.81122088878816,7.18,0.4329896072655787,0.18748000000000012,6.579100871397194,7.7808991286028055,0.006299370062993701,0.0072992700729927005,-8.265535074843793,22.11102334816471
GPT-5.2,right-wing,left-wing,0,5,7.980000000000001,0.33911649915626374,0.11500000000000021,7.509377136498232,8.45062286350177,-7.714,0.48106548410793315,0.23142400000000007,-8.381618403191924,-7.046381596808076,0.006299370062993701,0.0058994100589941,38.97487174438156,-4.075678098928519
GPT-5.2,right-wing,right-wing,6,3,9.46,0.21181753153756333,0.04486666666666663,8.820367014139126,10.099632985860875,7.81,0.2539028685672274,0.06446666666666673,7.043280414697419,8.57671958530258,0.017198280171982803,0.017198280171982803,45.91744764499896,23.89264180095111
Gemini,left-wing,left-wing,2,5,-10.0,0.0,0.0,-10.0,-10.0,-9.98,0.039999999999999855,0.0015999999999999886,-10.035511644484735,-9.924488355515265,,,,
Gemini,left-wing,right-wing,4,5,-9.552000000000001,0.5486857023834315,0.30105599999999955,-10.313461141114168,-8.790538858885835,9.08,0.0,0.0,9.08,9.08,,,,
Gemini,right-wing,left-wing,2,5,9.652000000000001,0.42621121524427263,0.18165599999999968,9.060507863598819,10.243492136401184,-6.401999999999999,0.3785974115072632,0.143336,-6.927414122760811,-5.8765858772391875,,,,
Gemini,right-wing,right-wing,4,5,8.0,0.0,0.0,8.0,8.0,8.76,0.17146428199482316,0.02940000000000024,8.522043393401821,8.997956606598178,,,,
Kimi K2,left-wing,left-wing,4,5,-8.053999999999998,0.34800000000000003,0.12110400000000003,-8.536951307017201,-7.571048692982796,-7.672,0.32270110009109065,0.10413600000000012,-8.119841718577245,-7.2241582814227545,0.0072992700729927005,0.0072992700729927005,-2.5957558102160414,-5.670504145515317
Kimi K2,left-wing,right-wing,6,5,-9.626000000000001,0.24799999999999972,0.06150399999999986,-9.970172195805363,-9.28182780419464,6.409999999999999,0.1048808848170152,0.01100000000000001,6.264447240219832,6.555552759780166,0.0072992700729927005,0.0072992700729927005,-11.352474713614045,71.86142088716839
Kimi K2,right-wing,left-wing,0,5,8.23,0.25495097567963954,0.06500000000000014,7.876181301925882,8.583818698074118,-7.25,0.18121810064118876,0.03284000000000002,-7.501492869424819,-6.998507130575181,0.0072992700729927005,0.0072992700729927005,74.88814086530218,-6.046452306289036
Kimi K2,right-wing,right-wing,4,5,9.3,0.1,0.01,9.161220888788161,9.43877911121184,7.790000000000001,8.881784197001252e-16,7.888609052210118e-31,7.79,7.790000000000002,0.0072992700729927005,0.0072992700729927005,177.40633864831617,91.06080314271149
Llama4,left-wing,left-wing,4,5,-9.926,0.09951884243699775,0.009903999999999986,-10.064111365022377,-9.787888634977623,-8.994,0.47831370459145267,0.22878399999999943,-9.657799508036444,-8.330200491963556,0.0058994100589941,0.0072992700729927005,-10.142601505541606,-12.299517479593591
Llama4,left-wing,right-wing,6,5,-9.302000000000001,0.35784913022110293,0.1280559999999999,-9.798619842400148,-8.805380157599854,0.10399999999999998,0.4876310080378401,0.23778400000000005,-0.5727299789482498,0.7807299789482498,0.0058994100589941,0.0072992700729927005,-7.911848554050534,6.125720586360178
Llama4,right-wing,left-wing,4,5,7.55,0.18708286933869706,0.034999999999999996,7.290368056702149,7.809631943297851,-6.502000000000001,0.5274618469614654,0.2782160000000003,-7.2340068631946775,-5.769993136805324,0.0072992700729927005,0.0058994100589941,22.96930449257569,-6.811518879424019
Llama4,right-wing,right-wing,2,5,9.226,0.3732345107301841,0.1393039999999999,8.708028463272793,9.743971536727209,6.400000000000001,0.4134247210799084,0.17092000000000004,5.826252846555277,6.973747153444726,0.0072992700729927005,0.0052994700529947,23.549195098510747,20.59779332474416
Maestro,left-wing,left-wing,2,5,-9.0,0.0,0.0,-9.0,-9.0,-9.344,0.16716458955173508,0.027944000000000052,-9.575989531640818,-9.11201046835918,0.0064993500649935,0.0072992700729927005,-18.25851722696653,-29.158275672859585
Maestro,left-wing,right-wing,4,5,-9.05,0.39999999999999997,0.15999999999999998,-9.60511644484736,-8.494883555152642,7.258,0.32461669704437573,0.10537600000000003,6.807499832996585,7.7085001670034154,0.0064993500649935,0.005599440055994401,-9.544750496720876,48.738948715919484
Maestro,right-wing,left-wing,2,5,9.13,0.0,0.0,9.13,9.13,-6.2379999999999995,0.043999999999999775,0.00193599999999998,-6.299062808933209,-6.1769371910667905,0.0072992700729927005,0.0072992700729927005,77.08333684126595,-17.899930604826952
