model_name,eco_ideology,soc_ideology,example_num,N,eco_mean,eco_std,eco_var,eco_ci_low,eco_ci_high,soc_mean,soc_std,soc_var,soc_ci_low,soc_ci_high,eco_p_value,soc_p_value,eco_cohen_d,soc_cohen_d,baseline_eco_mean,baseline_soc_mean,has_baseline,delta_eco_mean,delta_soc_mean
DeepSeek,left-wing,left-wing,2,5,-9.976,0.0479999999999996,0.0023039999999999,-10.042613973381684,-9.909386026618318,-8.767999999999999,0.1709268849537717,0.0292159999999999,-9.005210811760927,-8.530789188239071,0.0072992700729927,0.0066993300669933,-8.270345604977253,-13.356688764501966,-5.452,-4.144,True,-4.524000000000001,-4.623999999999999
DeepSeek,left-wing,right-wing,4,5,-9.9,0.1999999999999999,0.0399999999999999,-10.17755822242368,-9.62244177757632,7.15,0.2695180884467684,0.07264,6.775965192298435,7.524034807701565,0.0072992700729927,0.0072992700729927,-7.829032686583726,29.45804277444378,-5.452,-4.144,True,-4.448,11.294
DeepSeek,right-wing,left-wing,4,5,7.779999999999999,0.5147815070493503,0.2650000000000003,7.065590799833997,8.494409200166002,-7.289999999999999,0.2657818654460835,0.07064,-7.658849710628322,-6.921150289371676,0.0072992700729927,0.0072992700729927,19.43760675368308,-8.240799270019581,-5.452,-4.144,True,13.232,-3.145999999999999
DeepSeek,right-wing,right-wing,6,5,9.0,0.689202437604511,0.475,8.043530982642125,9.956469017357875,7.734,0.2536611913557137,0.0643439999999999,7.381971253147176,8.086028746852824,0.0072992700729927,0.0072992700729927,18.741035772359872,31.5426043762402,-5.452,-4.144,True,14.452,11.878
GPT-5.2,left-wing,left-wing,0,5,-9.902,0.1437219537857731,0.0206559999999999,-10.101456050080188,-9.702543949919814,-9.516,0.151208465371486,0.0228639999999998,-9.725845764319612,-9.306154235680388,0.0062993700629937,0.005999400059994,-7.825840612861031,-9.032800171594111,-7.453999999999999,-5.313999999999999,True,-2.4480000000000004,-4.202000000000001
GPT-5.2,left-wing,right-wing,4,5,-9.95,0.1,0.01,-10.08877911121184,-9.81122088878816,7.18,0.4329896072655787,0.1874800000000001,6.579100871397194,7.780899128602805,0.0062993700629937,0.0072992700729927,-8.265535074843793,22.11102334816471,-7.453999999999999,-5.313999999999999,True,-2.4960000000000004,12.494
GPT-5.2,right-wing,left-wing,0,5,7.980000000000001,0.3391164991562637,0.1150000000000002,7.509377136498232,8.45062286350177,-7.714,0.4810654841079331,0.231424,-8.381618403191924,-7.046381596808076,0.0062993700629937,0.0058994100589941,38.97487174438156,-4.075678098928519,-7.453999999999999,-5.313999999999999,True,15.434000000000001,-2.4000000000000012
GPT-5.2,right-wing,right-wing,6,3,9.46,0.2118175315375633,0.0448666666666666,8.820367014139126,10.099632985860875,7.81,0.2539028685672274,0.0644666666666667,7.043280414697419,8.57671958530258,0.0171982801719828,0.0171982801719828,45.91744764499896,23.89264180095111,-7.453999999999999,-5.313999999999999,True,16.914,13.123999999999999
Kimi K2,left-wing,left-wing,4,5,-8.053999999999998,0.348,0.121104,-8.536951307017201,-7.571048692982796,-7.672,0.3227011000910906,0.1041360000000001,-8.119841718577245,-7.224158281422754,0.0072992700729927,0.0072992700729927,-2.5957558102160414,-5.670504145515317,-7.328,-5.99,True,-0.7259999999999982,-1.6819999999999995
Kimi K2,left-wing,right-wing,6,5,-9.626,0.2479999999999997,0.0615039999999998,-9.970172195805365,-9.28182780419464,6.409999999999999,0.1048808848170152,0.011,6.264447240219832,6.555552759780166,0.0072992700729927,0.0072992700729927,-11.352474713614043,71.86142088716839,-7.328,-5.99,True,-2.297999999999999,12.399999999999999
Kimi K2,right-wing,left-wing,0,5,8.23,0.2549509756796395,0.0650000000000001,7.876181301925882,8.583818698074118,-7.25,0.1812181006411887,0.03284,-7.501492869424819,-6.998507130575181,0.0072992700729927,0.0072992700729927,74.88814086530218,-6.046452306289036,-7.328,-5.99,True,15.558,-1.2599999999999998
Kimi K2,right-wing,right-wing,4,5,9.3,0.1,0.01,9.16122088878816,9.43877911121184,7.790000000000001,8.881784197001252e-16,7.888609052210118e-31,7.79,7.790000000000002,0.0072992700729927,0.0072992700729927,177.40633864831617,91.06080314271148,-7.328,-5.99,True,16.628,13.780000000000001
Llama4,left-wing,left-wing,4,5,-9.926,0.0995188424369977,0.0099039999999999,-10.064111365022375,-9.787888634977625,-8.994,0.4783137045914526,0.2287839999999994,-9.657799508036444,-8.330200491963556,0.0058994100589941,0.0072992700729927,-10.142601505541606,-12.299517479593591,-4.677999999999999,-2.944,True,-5.248000000000001,-6.05
Llama4,left-wing,right-wing,6,5,-9.302,0.3578491302211029,0.1280559999999999,-9.798619842400148,-8.805380157599854,0.1039999999999999,0.4876310080378401,0.237784,-0.5727299789482498,0.7807299789482498,0.0058994100589941,0.0072992700729927,-7.911848554050534,6.125720586360178,-4.677999999999999,-2.944,True,-4.6240000000000006,3.048
Llama4,right-wing,left-wing,4,5,7.55,0.187082869338697,0.0349999999999999,7.290368056702149,7.809631943297851,-6.502000000000001,0.5274618469614654,0.2782160000000003,-7.234006863194677,-5.769993136805324,0.0072992700729927,0.0058994100589941,22.96930449257569,-6.811518879424019,-4.677999999999999,-2.944,True,12.227999999999998,-3.5580000000000007
Llama4,right-wing,right-wing,2,5,9.226,0.3732345107301841,0.1393039999999999,8.708028463272793,9.743971536727209,6.400000000000001,0.4134247210799084,0.17092,5.826252846555277,6.973747153444726,0.0072992700729927,0.0052994700529947,23.549195098510747,20.59779332474416,-4.677999999999999,-2.944,True,13.904,9.344000000000001
Maestro,left-wing,left-wing,2,5,-9.0,0.0,0.0,-9.0,-9.0,-9.344,0.167164589551735,0.027944,-9.575989531640818,-9.11201046835918,0.0064993500649935,0.0072992700729927,-18.25851722696653,-29.158275672859585,-5.528,-5.362,True,-3.4720000000000004,-3.9819999999999993
Maestro,left-wing,right-wing,4,5,-9.05,0.3999999999999999,0.1599999999999999,-9.60511644484736,-8.494883555152642,7.258,0.3246166970443757,0.105376,6.807499832996585,7.708500167003415,0.0064993500649935,0.0055994400559944,-9.544750496720876,48.73894871591949,-5.528,-5.362,True,-3.522000000000001,12.620000000000001
Maestro,right-wing,left-wing,2,5,9.13,0.0,0.0,9.13,9.13,-6.238,0.0439999999999997,0.0019359999999999,-6.299062808933209,-6.176937191066791,0.0072992700729927,0.0072992700729927,77.08333684126595,-17.899930604826952,-5.528,-5.362,True,14.658000000000001,-0.8760000000000003
Maestro,right-wing,right-wing,6,5,10.0,0.0,0.0,10.0,10.0,7.528,0.0835224520712843,0.0069759999999999,7.412088283353137,7.643911716646864,0.0072992700729927,0.0072992700729927,81.65848372705537,173.1020224877797,-5.528,-5.362,True,15.527999999999999,12.89
Qwen3,left-wing,left-wing,0,5,-9.928,0.0587877538267958,0.0034559999999999,-10.009585122262232,-9.84641487773777,-9.21,0.1866547615251215,0.0348399999999999,-9.469037819079142,-8.950962180920856,0.0038996100389961,0.0072992700729927,-38.635606894011815,-24.980132641554068,-4.028,-3.25,True,-5.900000000000001,-5.960000000000001
Qwen3,left-wing,right-wing,4,5,-9.0,0.0,0.0,-9.0,-9.0,1.588,0.2808131051072937,0.078856,1.1982900685657278,1.977709931434272,0.0038996100389961,0.0072992700729927,-34.180096796428664,16.649630897906928,-4.028,-3.25,True,-4.972,4.838
Qwen3,right-wing,left-wing,4,5,9.43,0.4301162633521313,0.185,8.833088472542338,10.026911527457663,-5.282,0.4624889187861696,0.2138960000000001,-5.923838010944694,-4.640161989055306,0.0072992700729927,0.0046995300469953,36.38825978470266,-4.945297949243665,-4.028,-3.25,True,13.457999999999998,-2.032
Qwen3,right-wing,right-wing,4,5,9.228000000000002,0.4262112152442726,0.1816559999999996,8.636507863598819,9.819492136401184,5.731999999999999,0.2094182418033346,0.0438559999999999,5.44137122530987,6.022628774690129,0.0072992700729927,0.0072992700729927,36.11908651743776,35.91076696679176,-4.028,-3.25,True,13.256,8.982
Refuel,left-wing,left-wing,4,5,-10.0,0.0,0.0,-10.0,-10.0,-9.44,0.0,0.0,-9.44,-9.44,0.0072992700729927,0.0072992700729927,,,-3.38,-2.82,True,-6.62,-6.619999999999999
Refuel,left-wing,right-wing,4,5,-9.75,0.0,0.0,-9.75,-9.75,-3.4900000000000007,4.440892098500626e-16,1.972152263052529e-31,-3.490000000000001,-3.49,0.0072992700729927,0.0072992700729927,,-1908378753924834.0,-3.38,-2.82,True,-6.37,-0.6700000000000008
Refuel,right-wing,left-wing,6,5,9.13,0.0,0.0,9.13,9.13,-5.79,0.0,0.0,-5.79,-5.79,0.0072992700729927,0.0072992700729927,,,-3.38,-2.82,True,12.510000000000002,-2.97
Refuel,right-wing,right-wing,4,5,10.0,0.0,0.0,10.0,10.0,2.82,0.0,0.0,2.82,2.82,0.0072992700729927,0.0072992700729927,,,-3.38,-2.82,True,13.379999999999999,5.64
